Year,Trip,Date,Time,Location,Depth_m,Placement,NomDepth_m,Metric,Units,Value
2021,1,20210618,13:44:45,Emerald,0.004,surface,0,Chlorophylla,RFU,0
2021,1,20210618,13:44:45,Emerald,0.004,surface,0,DO,mg/L,6.83
2021,1,20210618,13:44:45,Emerald,0.004,surface,0,Conductivity,uS/cm,4.9
2021,1,20210618,13:44:45,Emerald,0.004,surface,0,Phycocyanin,RFU,0
2021,1,20210618,13:44:45,Emerald,0.004,surface,0,pH,NA,8.22
2021,1,20210618,13:44:45,Emerald,0.004,surface,0,Temperature,degrees Celsius,16.706
2021,1,20210618,13:44:50,Emerald,0.004,surface,0,Chlorophylla,RFU,0
2021,1,20210618,13:44:50,Emerald,0.004,surface,0,DO,mg/L,6.84
2021,1,20210618,13:44:50,Emerald,0.004,surface,0,Conductivity,uS/cm,4.9
2021,1,20210618,13:44:50,Emerald,0.004,surface,0,Phycocyanin,RFU,0
2021,1,20210618,13:44:50,Emerald,0.004,surface,0,pH,NA,8.21
2021,1,20210618,13:44:50,Emerald,0.004,surface,0,Temperature,degrees Celsius,16.713
2021,1,20210618,13:44:55,Emerald,0.004,surface,0,Chlorophylla,RFU,0
2021,1,20210618,13:44:55,Emerald,0.004,surface,0,DO,mg/L,6.85
2021,1,20210618,13:44:55,Emerald,0.004,surface,0,Conductivity,uS/cm,4.9
2021,1,20210618,13:44:55,Emerald,0.004,surface,0,Phycocyanin,RFU,0
2021,1,20210618,13:44:55,Emerald,0.004,surface,0,pH,NA,8.19
2021,1,20210618,13:44:55,Emerald,0.004,surface,0,Temperature,degrees Celsius,16.725
2021,1,20210618,13:45:00,Emerald,0.004,surface,0,Chlorophylla,RFU,0
2021,1,20210618,13:45:00,Emerald,0.004,surface,0,DO,mg/L,6.85
2021,1,20210618,13:45:00,Emerald,0.004,surface,0,Conductivity,uS/cm,4.9
2021,1,20210618,13:45:00,Emerald,0.004,surface,0,Phycocyanin,RFU,0
2021,1,20210618,13:45:00,Emerald,0.004,surface,0,pH,NA,8.17
2021,1,20210618,13:45:00,Emerald,0.004,surface,0,Temperature,degrees Celsius,16.726
2021,1,20210618,13:45:05,Emerald,0.004,surface,0,Chlorophylla,RFU,0
2021,1,20210618,13:45:05,Emerald,0.004,surface,0,DO,mg/L,6.86
2021,1,20210618,13:45:05,Emerald,0.004,surface,0,Conductivity,uS/cm,4.9
2021,1,20210618,13:45:05,Emerald,0.004,surface,0,Phycocyanin,RFU,0
2021,1,20210618,13:45:05,Emerald,0.004,surface,0,pH,NA,8.05
2021,1,20210618,13:45:05,Emerald,0.004,surface,0,Temperature,degrees Celsius,16.722
2021,1,20210618,13:45:10,Emerald,0.004,surface,0,Chlorophylla,RFU,0
2021,1,20210618,13:45:10,Emerald,0.004,surface,0,DO,mg/L,6.87
2021,1,20210618,13:45:10,Emerald,0.004,surface,0,Conductivity,uS/cm,4.9
2021,1,20210618,13:45:10,Emerald,0.004,surface,0,Phycocyanin,RFU,0
2021,1,20210618,13:45:10,Emerald,0.004,surface,0,pH,NA,8.06
2021,1,20210618,13:45:10,Emerald,0.004,surface,0,Temperature,degrees Celsius,16.721
2021,1,20210618,13:45:15,Emerald,0.004,surface,0,Chlorophylla,RFU,0
2021,1,20210618,13:45:15,Emerald,0.004,surface,0,DO,mg/L,6.88
2021,1,20210618,13:45:15,Emerald,0.004,surface,0,Conductivity,uS/cm,4.9
2021,1,20210618,13:45:15,Emerald,0.004,surface,0,Phycocyanin,RFU,0
2021,1,20210618,13:45:15,Emerald,0.004,surface,0,pH,NA,8.05
2021,1,20210618,13:45:15,Emerald,0.004,surface,0,Temperature,degrees Celsius,16.721
2021,1,20210618,13:45:20,Emerald,0.004,surface,0,Chlorophylla,RFU,0
