SampleLabel,Date,Location,Trip,Year,Metric,Conc,Units,Notes
HE_A_3.21_PCH_R1,20210817,Heather,3,2021,chlorophylla,0.0161,mg,NA
HE_A_3.21_PCH_R1,20210817,Heather,3,2021,chlorophylla,2.00E-04,mg_per_cm2,NA
HE_A_3.21_PCH_R2,20210817,Heather,3,2021,chlorophylla,0.0323,mg,corrected chl-a & pheo
HE_A_3.21_PCH_R2,20210817,Heather,3,2021,chlorophylla,3.00E-04,mg_per_cm2,corrected chl-a & pheo
HE_A_3.21_PCH_R3,20210817,Heather,3,2021,chlorophylla,0.0281,mg,NA
HE_A_3.21_PCH_R3,20210817,Heather,3,2021,chlorophylla,3.00E-04,mg_per_cm2,NA
HE_B_3.21_PCH_R1,20210817,Heather,3,2021,chlorophylla,0.0078,mg,NA
HE_B_3.21_PCH_R1,20210817,Heather,3,2021,chlorophylla,1.00E-04,mg_per_cm2,NA
HE_B_3.21_PCH_R2,20210817,Heather,3,2021,chlorophylla,0.01,mg,NA
HE_B_3.21_PCH_R2,20210817,Heather,3,2021,chlorophylla,1.00E-04,mg_per_cm2,NA
HE_C_3.21_PCH_R1,20210817,Heather,3,2021,chlorophylla,0.0368,mg,NA
HE_C_3.21_PCH_R1,20210817,Heather,3,2021,chlorophylla,4.00E-04,mg_per_cm2,NA
HE_C_3.21_PCH_R2,20210817,Heather,3,2021,chlorophylla,0.0874,mg,NA
HE_C_3.21_PCH_R2,20210817,Heather,3,2021,chlorophylla,9.00E-04,mg_per_cm2,NA
HE_C_3.21_PCH_R3,20210817,Heather,3,2021,chlorophylla,0.0759,mg,NA
HE_C_3.21_PCH_R3,20210817,Heather,3,2021,chlorophylla,7.00E-04,mg_per_cm2,NA
EM_A_3.21_PCH_R1,20210820,Emerald,3,2021,chlorophylla,0.0078,mg,NA
EM_A_3.21_PCH_R1,20210820,Emerald,3,2021,chlorophylla,1.00E-04,mg_per_cm2,NA
EM_A_3.21_PCH_R2,20210820,Emerald,3,2021,chlorophylla,0.0047,mg,NA
EM_A_3.21_PCH_R2,20210820,Emerald,3,2021,chlorophylla,0,mg_per_cm2,NA
EM_A_3.21_PCH_R3,20210820,Emerald,3,2021,chlorophylla,0.0031,mg,NA
EM_A_3.21_PCH_R3,20210820,Emerald,3,2021,chlorophylla,0,mg_per_cm2,NA
EM_B_3.21_PCH_R1,20210820,Emerald,3,2021,chlorophylla,0.0195,mg,NA
EM_B_3.21_PCH_R1,20210820,Emerald,3,2021,chlorophylla,2.00E-04,mg_per_cm2,NA
EM_B_3.21_PCH_R2,20210820,Emerald,3,2021,chlorophylla,0.0145,mg,NA
EM_B_3.21_PCH_R2,20210820,Emerald,3,2021,chlorophylla,1.00E-04,mg_per_cm2,NA
EM_B_3.21_PCH_R3,20210820,Emerald,3,2021,chlorophylla,0.0287,mg,corrected chl-a & pheo
EM_B_3.21_PCH_R3,20210820,Emerald,3,2021,chlorophylla,3.00E-04,mg_per_cm2,corrected chl-a & pheo
EM_C_3.21_PCH_R1,20210820,Emerald,3,2021,chlorophylla,0.0237,mg,NA
EM_C_3.21_PCH_R1,20210820,Emerald,3,2021,chlorophylla,2.00E-04,mg_per_cm2,NA
