SampleLabel,Date,Location,Trip,Year,Conc,Units,Composite,CompReps
HE_A_3.21_PCU_R1,20210817,Heather,3,2021,8.63,ug/g dry wt,N,1
HE_C_3.21_PCU_R1,20210817,Heather,3,2021,8.84,ug/g dry wt,N,1
HE_C_3.21_PCU_R2,20210817,Heather,3,2021,9.67,ug/g dry wt,N,1
HE_C_3.21_PCU_R3,20210817,Heather,3,2021,9.06,ug/g dry wt,N,1
EM_B_3.21_PCU_R1,20210820,Emerald,3,2021,11.7,ug/g dry wt,N,1
EM_B_3.21_PCU_R2,20210820,Emerald,3,2021,10.4,ug/g dry wt,N,1
EM_B_3.21_PCU_R3,20210820,Emerald,3,2021,13.4,ug/g dry wt,N,1
EM_C_3.21_PCU_R1,20210820,Emerald,3,2021,12.6,ug/g dry wt,N,1
EM_C_3.21_PCU_R2,20210820,Emerald,3,2021,17.5,ug/g dry wt,N,1
EM_C_3.21_PCU_R3,20210820,Emerald,3,2021,18.2,ug/g dry wt,N,1
PE_B_3.21_PCU_R1,20210821,Pear,3,2021,13.8,ug/g dry wt,N,1
PE_B_3.21_PCU_R3,20210821,Pear,3,2021,13,ug/g dry wt,N,1
PE_C_3.21_PCU_R2,20210821,Pear,3,2021,19,ug/g dry wt,N,1
PE_C_3.21_PCU_R3,20210821,Pear,3,2021,17,ug/g dry wt,N,1
LY_B_3.21_PCU_R1,20210819,Lyness,3,2021,19.7,ug/g dry wt,N,1
LY_B_3.21_PCU_R2,20210819,Lyness,3,2021,20.8,ug/g dry wt,N,1
LY_B_3.21_PCU_R3,20210819,Lyness,3,2021,17.5,ug/g dry wt,N,1
LY_C_3.21_PCU_R1,20210819,Lyness,3,2021,17.9,ug/g dry wt,N,1
LY_C_3.21_PCU_R3,20210819,Lyness,3,2021,17.1,ug/g dry wt,N,1
FR_A_3.21_PCU_R1,20210818,Frog,3,2021,14.7,ug/g dry wt,N,1
FR_A_3.21_PCU_R2,20210818,Frog,3,2021,14.7,ug/g dry wt,N,1
FR_A_3.21_PCU_R3,20210818,Frog,3,2021,18.5,ug/g dry wt,N,1
TO_A_3.21_PCU_R1,20210821,Topaz,3,2021,30,ug/g dry wt,N,1
TO_C_3.21_PCU_R2,20210821,Topaz,3,2021,27.5,ug/g dry wt,N,1
HE_A_3.21_PCU_R2,20210817,Heather,3,2021,10.2,ug/g dry wt,N,1
HE_A_3.21_PCU_R3,20210817,Heather,3,2021,13.5,ug/g dry wt,N,1
HE_B_3.21_PCU_R1,20210817,Heather,3,2021,9.99,ug/g dry wt,N,1
HE_B_3.21_PCU_R2,20210817,Heather,3,2021,9.45,ug/g dry wt,N,1
