Date,Location,Year,Trip,SeeBottom,DDepth1_m,ADepth1_m,DDepth2_m,ADepth2_m,DDepth3_m,ADepth3_m,AvgSecchi_m,MaxDepth_m,Comments
20210617,Heather,2021,1,Yes,NA,NA,NA,NA,NA,NA,7,7,"can't really see lake bottom, but can see secchi disk there"
20210618,Emerald,2021,1,No,9.7,9.7,9.6,9.6,9.6,9.5,9.6,9.9,NA
20210615,Pear,2021,1,No,6,5.9,6.2,5.8,5.9,5.8,5.9,24.1,NA
20210620,Lyness,2021,1,No,4,3.6,3.7,3.7,3.8,3.7,3.8,10.3,NA
20210616,Frog,2021,1,Yes,NA,NA,NA,NA,NA,NA,4.1,4.1,NA
20210619,Topaz,2021,1,Yes,NA,NA,NA,NA,NA,NA,4.9,4.9,"can't really see lake bottom, but can see secchi disk there"
20210722,Heather,2021,2,No,6.8,6.6,7,6.7,7.1,7.1,6.9,7,NA
20210724,Emerald,2021,2,Yes,NA,NA,NA,NA,NA,NA,9.9,9.9,NA
20210720,Pear,2021,2,No,6,6.4,6.2,6.4,6,6.6,6.3,24.1,"glare on lake, no shaded side."
20210721,Lyness,2021,2,No,5.7,5.5,6,5.6,5.8,5.6,5.7,10.3,NA
20210725,Frog,2021,2,Yes,NA,NA,NA,NA,NA,NA,4.1,4.1,NA
20210723,Topaz,2021,2,Yes,NA,NA,NA,NA,NA,NA,4.9,4.9,"can't really see lake bottom, but can see secchi disk there"
20210817,Heather,2021,3,Yes,NA,NA,NA,NA,NA,NA,7,7,NA
20210820,Emerald,2021,3,No,7.3,7.3,7,7,7.3,7,7.2,9.9,NA
20210821,Pear,2021,3,No,5.2,5.2,5.2,5.2,5.1,5.2,5.2,24.1,NA
20210819,Lyness,2021,3,No,5,4.9,5,4.8,5,4.9,4.9,10.3,NA
20210818,Frog,2021,3,Yes,NA,NA,NA,NA,NA,NA,4.1,4.1,NA
20210821,Topaz,2021,3,Yes,NA,NA,NA,NA,NA,NA,4.9,4.9,NA
20220623,Heather,2022,1,Yes,NA,NA,NA,NA,NA,NA,7,7,NA
20220622,Emerald,2022,1,No,7.8,7.3,7.3,7.3,7.6,6.6,7.3,9.9,NA
20220621,Pear,2022,1,No,6,6,6,6.1,6,6.1,6,24.1,NA
20220625,Lyness,2022,1,No,8.4,8.3,9.3,8.2,9.1,8.3,8.6,10.3,NA
20220626,Frog,2022,1,Yes,NA,NA,NA,NA,NA,NA,4.1,4.1,NA
20220624,Topaz,2022,1,Yes,NA,NA,NA,NA,NA,NA,4.9,4.9,NA
20220715,Heather,2022,2,Yes,NA,NA,NA,NA,NA,NA,7,7,NA
20220717,Emerald,2022,2,Yes,NA,NA,NA,NA,NA,NA,9.9,9.9,NA
20220712,Pear,2022,2,No,11,11.6,11.5,11.7,11.5,11.7,11.5,24.1,NA
20220713,Lyness,2022,2,Yes,NA,NA,NA,NA,NA,NA,10.3,10.3,NA
20220714,Frog,2022,2,Yes,NA,NA,NA,NA,NA,NA,4.1,4.1,NA
20220717,Topaz,2022,2,Yes,NA,NA,NA,NA,NA,NA,4.9,4.9,NA
20220818,Heather,2022,3,Yes,NA,NA,NA,NA,NA,NA,7,7,NA
20220820,Emerald,2022,3,Yes,NA,NA,NA,NA,NA,NA,9.9,9.9,NA
20220816,Pear,2022,3,No,10.5,10,10,10,9.75,9.75,10,24.1,NA
20220817,Lyness,2022,3,Yes,NA,NA,NA,NA,NA,NA,10.3,10.3,NA
20220819,Frog,2022,3,No,3.2,3.1,3.3,3.3,3.4,3.3,3.3,4.1,NA
20220819,Topaz,2022,3,No,4,4.5,4.5,4.5,4.75,4.25,4.4,4.9,NA
20220916,Heather,2022,4,No,4.5,4.3,4.9,4.3,4.3,4.5,4.5,7,NA
20220917,Emerald,2022,4,No,8.1,8.3,8.1,7.9,8.3,8.5,8.2,9.9,NA
20220913,Pear,2022,4,No,6.3,6.4,6.6,6.3,6.4,6.6,6.4,24.1,NA
20220914,Lyness,2022,4,Yes,NA,NA,NA,NA,NA,NA,10.3,10.3,could barely see lake bottom
20220915,Frog,2022,4,Yes,NA,NA,NA,NA,NA,NA,4.1,4.1,NA
20220915,Topaz,2022,4,Yes,NA,NA,NA,NA,NA,NA,4.9,4.9,NA
20221013,Heather,2022,5,No,7.2,6.9,7.1,6.6,6.9,6.8,6.9,7,NA
20221015,Emerald,2022,5,Yes,NA,NA,NA,NA,NA,NA,9.9,9.9,NA
20221011,Pear,2022,5,No,6.1,5.9,6,6.2,6,6.1,6.1,24.1,NA
20221012,Lyness,2022,5,No,8.5,8.6,8.4,8.7,8.8,8.8,8.6,10.3,NA
20221014,Frog,2022,5,Yes,NA,NA,NA,NA,NA,NA,4.1,4.1,NA
20221014,Topaz,2022,5,Yes,NA,NA,NA,NA,NA,NA,4.9,4.9,NA
