SampleLabel,Date,Location,Trip,Year,ConcCu,Units,Sample_Type
PE_A_1.21_SCU_ZZ,20210615,Pear,1,2021,4.63,ug/g dry wt,Standard
PE_A_1.21_SCU_DU,20210615,Pear,1,2021,8.15,ug/g dry wt,Duplicate
PE_B_1.21_SCU_ZZ,20210615,Pear,1,2021,4.42,ug/g dry wt,Standard
PE_C_1.21_SCU_ZZ,20210615,Pear,1,2021,3.99,ug/g dry wt,Standard
FR_A_1.21_SCU_ZZ,20210616,Frog,1,2021,11,ug/g dry wt,Standard
FR_A_1.21_SCU_DU,20210616,Frog,1,2021,17.8,ug/g dry wt,Duplicate
FR_B_1.21_SCU_ZZ,20210616,Frog,1,2021,13.6,ug/g dry wt,Standard
FR_C_1.21_SCU_ZZ,20210616,Frog,1,2021,24.9,ug/g dry wt,Standard
TO_A_1.21_SCU_ZZ,20210619,Topaz,1,2021,11.6,ug/g dry wt,Standard
TO_B_1.21_SCU_ZZ,20210619,Topaz,1,2021,10.4,ug/g dry wt,Standard
TO_C_1.21_SCU_ZZ,20210619,Topaz,1,2021,12.8,ug/g dry wt,Standard
TO_C_1.21_SCU_DU,20210619,Topaz,1,2021,15.3,ug/g dry wt,Duplicate
EM_A_1.21_SCU_ZZ,20210618,Emerald,1,2021,19,ug/g dry wt,Standard
EM_B_1.21_SCU_ZZ,20210618,Emerald,1,2021,1.44,ug/g dry wt,Standard
EM_C_1.21_SCU_ZZ,20210618,Emerald,1,2021,13.8,ug/g dry wt,Standard
EM_C_1.21_SCU_DU,20210618,Emerald,1,2021,20.4,ug/g dry wt,Duplicate
LY_A_1.21_SCU_ZZ,20210620,Lyness,1,2021,8.08,ug/g dry wt,Standard
LY_B_1.21_SCU_ZZ,20210620,Lyness,1,2021,8.03,ug/g dry wt,Standard
LY_B_1.21_SCU_DU,20210620,Lyness,1,2021,8.23,ug/g dry wt,Duplicate
LY_C_1.21_SCU_ZZ,20210620,Lyness,1,2021,12,ug/g dry wt,Standard
HE_A_1.21_SCU_ZZ,20210617,Heather,1,2021,10.8,ug/g dry wt,Standard
HE_B_1.21_SCU_ZZ,20210617,Heather,1,2021,2.02,ug/g dry wt,Standard
HE_B_1.21_SCU_DU,20210617,Heather,1,2021,1.93,ug/g dry wt,Duplicate
HE_C_1.21_SCU_ZZ,20210617,Heather,1,2021,8.65,ug/g dry wt,Standard
TO_A_2.21_SCU_ZZ,20210723,Topaz,2,2021,10.2,ug/g dry wt,Standard
TO_B_2.21_SCU_ZZ,20210723,Topaz,2,2021,14.8,ug/g dry wt,Standard
TO_C_2.21_SCU_ZZ,20210723,Topaz,2,2021,17.5,ug/g dry wt,Standard
TO_C_2.21_SCU_DU,20210723,Topaz,2,2021,14.1,ug/g dry wt,Duplicate
EM_A_2.21_SCU_ZZ,20210724,Emerald,2,2021,2.76,ug/g dry wt,Standard
EM_B_2.21_SCU_ZZ,20210724,Emerald,2,2021,9.01,ug/g dry wt,Standard
EM_B_2.21_SCU_DU,20210724,Emerald,2,2021,3.98,ug/g dry wt,Duplicate
