Location,Date,Year,Trip,TadpoleID,Purpose,Bio_GS,Bio_SVL,Bio_TL,Bio_Mass,Bio_Deform,ConcCu,Comments
Lyness,20210721,2021,2,1,copper,36,20,51,1.175,No,14.6,NA
Lyness,20210721,2021,2,2,copper,40,17,48,1.046,No,11.9,NA
Lyness,20210721,2021,2,3,copper,37,22,57,1.653,No,14.3,NA
Lyness,20210721,2021,2,4,copper,39,22,58,1.116,No,12.8,NA
Lyness,20210721,2021,2,5,copper,39,20,55,1.336,No,13.3,NA
Lyness,20210721,2021,2,6,copper,36,21,53,1.501,No,16.7,NA
Lyness,20210721,2021,2,7,copper,40,17,53,1.544,No,8.07,NA
Lyness,20210721,2021,2,8,copper,37,21,52,1.454,No,13.4,NA
Lyness,20210721,2021,2,9,copper,39,21,57,1.523,No,11,NA
Lyness,20210721,2021,2,10,copper,39,22,52,1.561,No,10.5,NA
Lyness,20210721,2021,2,11,copper,36,22,54,1.629,No,19.2,NA
Lyness,20210721,2021,2,12,copper,41,19,51,1.6,No,11.5,NA
Lyness,20210721,2021,2,13,copper,41,17,53,1.083,No,10.3,NA
Lyness,20210721,2021,2,14,copper,36,22,50,1.18,No,15.3,NA
Lyness,20210721,2021,2,15,copper,36,20,53,0.961,No,13.5,NA
Lyness,20210721,2021,2,55,histology,38,21,54,1.341,No,NA,no ethanol rinse
Lyness,20210721,2021,2,46,histology,38,22,58,1.819,No,NA,"Liver mass not taken, TMB samples placed in TSK sample bottle with less RNA later."
Lyness,20210721,2021,2,49,histology,39,23,63,2.014,No,NA,TMB samples placed in TSK sample bottle with less RNA later
Lyness,20210721,2021,2,53,histology,38,21,54,1.131,No,NA,NA
Lyness,20210721,2021,2,54,histology,41,21,52,1.18,No,NA,"specimen deceased upon retrieval, don't see any excretion in tube probably died early in process."
Lyness,20210721,2021,2,52,histology,40,22,51,1.216,No,NA,NA
Lyness,20210721,2021,2,58,histology,37,21,52,1.617,No,NA,NA
Lyness,20210721,2021,2,48,histology,39,23,57,1.707,No,NA,NA
Lyness,20210721,2021,2,60,histology,40,24,59,1.599,No,NA,NA
Lyness,20210721,2021,2,59,histology,40,22,54,1.456,No,NA,Not much visible gut contents.
Lyness,20210721,2021,2,56,histology,40,23,61,1.893,No,NA,TMB sample ground up in sample bottle threads
Frog,20210725,2021,2,16,copper,41,20,58,1.368,No,13.5,NA
Frog,20210725,2021,2,17,copper,38,23,44,1.691,No,11.3,"tail tip damaged. dissected for training, whole body collected though."
Frog,20210725,2021,2,18,copper,42,20,51,1.302,No,12.3,NA
Frog,20210725,2021,2,19,copper,43,19,53,1.151,No,4.67,NA
Frog,20210725,2021,2,20,copper,42,20,50,1.164,No,2.98,NA
Frog,20210725,2021,2,21,copper,42,19,53,1.561,No,4.59,NA
Frog,20210725,2021,2,22,copper,38,21,55,1.468,No,10.8,NA
Frog,20210725,2021,2,23,copper,32,14,35,0.472,No,19,NA
Frog,20210725,2021,2,24,copper,37,21,52,1.449,No,10.9,NA
Frog,20210725,2021,2,25,copper,40,21,58,1.448,No,6.38,NA
Frog,20210725,2021,2,26,copper,38,23,60,1.797,No,13.3,NA
Frog,20210725,2021,2,27,copper,34,18,47,0.887,No,15,NA
Frog,20210725,2021,2,28,copper,41,19,54,1.256,Yes,6.2,crook at end of tail
Frog,20210725,2021,2,29,copper,42,19,55,1.211,No,3.96,NA
Topaz,20210723,2021,2,36,copper,37,21,53,1.365,No,22.3,NA
Topaz,20210723,2021,2,34,copper,42,19,45,0.836,No,8.08,NA
Topaz,20210723,2021,2,35,copper,34,17,38,0.606,No,22.5,NA
Topaz,20210723,2021,2,33,copper,38,22,59,1.713,No,14.4,NA
Topaz,20210723,2021,2,32,copper,38,19,40,1.111,Yes,12.4,Truncated round tail
Topaz,20210723,2021,2,43,copper,40,22,57,1.595,No,11.3,NA
Topaz,20210723,2021,2,31,copper,37,21,27,1.555,No,13.5,NA
Topaz,20210723,2021,2,37,copper,42,19,53,0.979,No,11.8,NA
Topaz,20210723,2021,2,42,copper,35,19,49,0.89,No,16.2,NA
Topaz,20210723,2021,2,38,copper,40,20,54,1.428,No,20.5,NA
Topaz,20210723,2021,2,39,copper,38,22,56,1.645,No,10.6,NA
Topaz,20210723,2021,2,40,copper,36,19,44,0.977,No,19.1,NA
Topaz,20210723,2021,2,41,copper,41,18,NA,1.404,Yes,19.2,Tail severed
Topaz,20210723,2021,2,76,histology,36,19,49,1.105,No,NA,NA
Topaz,20210723,2021,2,77,histology,41,15,52,1.021,No,NA,NA
Topaz,20210723,2021,2,78,histology,41,17,51,1.843,No,NA,NA
Topaz,20210723,2021,2,79,histology,41,22,58,1.292,No,NA,NA
Topaz,20210723,2021,2,80,histology,40,21,58,0.883,No,NA,NA
Topaz,20210723,2021,2,81,histology,40,21,52,1.328,No,NA,NA
Topaz,20210723,2021,2,82,histology,40,22,56,1.277,No,NA,NA
Topaz,20210723,2021,2,83,histology,42,18,42,0.387,No,NA,Minimal guts
Topaz,20210723,2021,2,84,histology,42,15,44,0.661,No,NA,NA
Topaz,20210723,2021,2,85,histology,35,17,44,0.801,No,NA,NA
Lyness,20220713,2022,2,546,histology,37,22,54,2.481,No,NA,tail broken. total length is estimated
Lyness,20220713,2022,2,547,histology,37,19,NA,1.684,No,NA,tail too broken for total length
Lyness,20220713,2022,2,548,histology,38,20,49,1.237,No,NA,NA
Lyness,20220713,2022,2,549,histology,36,18,40,0.964,No,NA,NA
Lyness,20220713,2022,2,550,histology,35,19,42,0.999,No,NA,NA
Lyness,20220713,2022,2,551,histology,37,19,45,1.039,No,NA,NA
Lyness,20220713,2022,2,552,histology,37,20,46,1.217,No,NA,not sure about liver weight. scale issues
Lyness,20220713,2022,2,553,histology,40,20,52,1.003,No,NA,NA
Lyness,20220713,2022,2,554,histology,38,21,52,1.439,No,NA,NA
Lyness,20220713,2022,2,555,histology,36,19,42,1.05,No,NA,NA
Lyness,20220713,2022,2,556,histology,38,20,53,1.411,No,NA,NA
Lyness,20220713,2022,2,557,histology,37,21,50,1.212,No,NA,tail a bit cut
Lyness,20220713,2022,2,558,histology,37,21,53,1.368,No,NA,NA
Lyness,20220713,2022,2,559,histology,38,21,54,1.427,No,NA,NA
Lyness,20220713,2022,2,560,histology,36,18,43,0.871,No,NA,scale not working for liver mass
