SampleLabel,Date,Location,Section,Trip,Year,Sample_Type,Metric,Conc,Units,MDL,Comments
PE_A_1.21_WCU_ZZ,20210615,Pear,A,1,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
PE_B_1.21_WCU_ZZ,20210615,Pear,B,1,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
PE_C_1.21_WCU_ZZ,20210615,Pear,C,1,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
TO_A_1.21_WCU_ZZ,20210619,Topaz,A,1,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
TO_B_1.21_WCU_ZZ,20210619,Topaz,B,1,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
TO_C_1.21_WCU_ZZ,20210619,Topaz,C,1,2021,Standard,Cu,0.48,micrograms per liter,0.4,NA
FR_A_1.21_WCU_ZZ,20210616,Frog,A,1,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
FR_B_1.21_WCU_ZZ,20210616,Frog,B,1,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
FR_C_1.21_WCU_ZZ,20210616,Frog,C,1,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_A_1.21_WCU_ZZ,20210617,Heather,A,1,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_B_1.21_WCU_ZZ,20210617,Heather,B,1,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_C_1.21_WCU_ZZ,20210617,Heather,C,1,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
EM_A_1.21_WCU_ZZ,20210618,Emerald,A,1,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
EM_A_1.21_WCU_DU,20210618,Emerald,A,1,2021,Duplicate,Cu,NA,micrograms per liter,0.4,below method detection limit
EM_B_1.21_WCU_ZZ,20210618,Emerald,B,1,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
EM_C_1.21_WCU_ZZ,20210618,Emerald,C,1,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
LY_A_1.21_WCU_ZZ,20210620,Lyness,A,1,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
LY_B_1.21_WCU_ZZ,20210620,Lyness,B,1,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
LY_C_1.21_WCU_ZZ,20210620,Lyness,C,1,2021,Standard,Cu,0.44,micrograms per liter,0.4,NA
EM_A_2.21_WCU_ZZ,20210724,Emerald,A,2,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
EM_B_2.21_WCU_ZZ,20210724,Emerald,B,2,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
EM_C_2.21_WCU_ZZ,20210724,Emerald,C,2,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
FR_A_2.21_WCU_ZZ,20210725,Frog,A,2,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
FR_B_2.21_WCU_ZZ,20210725,Frog,B,2,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
FR_C_2.21_WCU_ZZ,20210725,Frog,C,2,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_A_2.21_WCU_ZZ,20210722,Heather,A,2,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_B_2.21_WCU_ZZ,20210722,Heather,B,2,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_B_2.21_WCU_DU,20210722,Heather,B,2,2021,Duplicate,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_C_2.21_WCU_ZZ,20210722,Heather,C,2,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
LY_A_2.21_WCU_ZZ,20210721,Lyness,A,2,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
LY_B_2.21_WCU_ZZ,20210721,Lyness,B,2,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
LY_C_2.21_WCU_ZZ,20210721,Lyness,C,2,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
PE_A_2.21_WCU_ZZ,20210720,Pear,A,2,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
PE_B_2.21_WCU_ZZ,20210720,Pear,B,2,2021,Standard,Cu,0.42,micrograms per liter,0.4,NA
PE_C_2.21_WCU_ZZ,20210720,Pear,C,2,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
TO_A_2.21_WCU_ZZ,20210723,Topaz,A,2,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
TO_B_2.21_WCU_ZZ,20210723,Topaz,B,2,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
TO_C_2.21_WCU_ZZ,20210723,Topaz,C,2,2021,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_A_3.21_WCU_ZZ,20210817,Heather,A,3,2021,Standard,Cu,NA,micrograms per liter,0.7,below method detection limit
HE_B_3.21_WCU_ZZ,20210817,Heather,B,3,2021,Standard,Cu,1.36,micrograms per liter,0.7,NA
HE_C_3.21_WCU_ZZ,20210817,Heather,C,3,2021,Standard,Cu,NA,micrograms per liter,0.7,below method detection limit
EM_A_3.21_WCU_ZZ,20210820,Emerald,A,3,2021,Standard,Cu,NA,micrograms per liter,0.7,below method detection limit
EM_B_3.21_WCU_ZZ,20210820,Emerald,B,3,2021,Standard,Cu,NA,micrograms per liter,0.7,below method detection limit
EM_C_3.21_WCU_ZZ,20210820,Emerald,C,3,2021,Standard,Cu,1.77,micrograms per liter,0.7,NA
PE_A_3.21_WCU_ZZ,20210821,Pear,A,3,2021,Standard,Cu,NA,micrograms per liter,0.7,below method detection limit
PE_B_3.21_WCU_ZZ,20210821,Pear,B,3,2021,Standard,Cu,0.93,micrograms per liter,0.7,NA
PE_C_3.21_WCU_ZZ,20210821,Pear,C,3,2021,Standard,Cu,NA,micrograms per liter,0.7,below method detection limit
LY_A_3.21_WCU_ZZ,20210819,Lyness,A,3,2021,Standard,Cu,NA,micrograms per liter,0.7,below method detection limit
LY_B_3.21_WCU_ZZ,20210819,Lyness,B,3,2021,Standard,Cu,NA,micrograms per liter,0.7,below method detection limit
LY_B_3.21_WCU_DU,20210819,Lyness,B,3,2021,Duplicate,Cu,NA,micrograms per liter,0.7,below method detection limit
LY_C_3.21_WCU_ZZ,20210819,Lyness,C,3,2021,Standard,Cu,NA,micrograms per liter,0.7,below method detection limit
FR_A_3.21_WCU_ZZ,20210818,Frog,A,3,2021,Standard,Cu,NA,micrograms per liter,0.7,below method detection limit
FR_B_3.21_WCU_ZZ,20210818,Frog,B,3,2021,Standard,Cu,NA,micrograms per liter,0.7,below method detection limit
FR_C_3.21_WCU_ZZ,20210818,Frog,C,3,2021,Standard,Cu,0.85,micrograms per liter,0.7,NA
TO_A_3.21_WCU_ZZ,20210821,Topaz,A,3,2021,Standard,Cu,NA,micrograms per liter,0.7,below method detection limit
TO_B_3.21_WCU_ZZ,20210821,Topaz,B,3,2021,Standard,Cu,NA,micrograms per liter,0.7,below method detection limit
TO_C_3.21_WCU_ZZ,20210821,Topaz,C,3,2021,Standard,Cu,NA,micrograms per liter,0.7,below method detection limit
EM_A_5.21_WCU_ZZ,20211117,Emerald,A,5,2021,Standard,Cu,NA,micrograms per liter,0.7,below method detection limit
HE_B_5.21_WCU_ZZ,20211117,Heather,B,5,2021,Standard,Cu,1.01,micrograms per liter,0.7,NA
PE_A_5.21_WCU_ZZ,20211117,Pear,A,5,2021,Standard,Cu,NA,micrograms per liter,0.7,below method detection limit
PE_A_5.21_WCU_DU,20211117,Pear,A,5,2021,Duplicate,Cu,0.82,micrograms per liter,0.7,NA
EM_A_1.22_WCU_ZZ,20220622,Emerald,A,1,2022,Standard,Cu,0.85,micrograms per liter,0.4,NA
EM_B_1.22_WCU_ZZ,20220622,Emerald,B,1,2022,Standard,Cu,0.58,micrograms per liter,0.4,NA
EM_C_1.22_WCU_ZZ,20220622,Emerald,C,1,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
FR_A_1.22_WCU_ZZ,20220626,Frog,A,1,2022,Standard,Cu,0.62,micrograms per liter,0.4,NA
FR_B_1.22_WCU_ZZ,20220626,Frog,B,1,2022,Standard,Cu,0.56,micrograms per liter,0.4,NA
FR_C_1.22_WCU_ZZ,20220626,Frog,C,1,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_A_1.22_WCU_DU,20220623,Heather,A,1,2022,Duplicate,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_A_1.22_WCU_ZZ,20220623,Heather,A,1,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_B_1.22_WCU_ZZ,20220623,Heather,B,1,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_C_1.22_WCU_ZZ,20220623,Heather,C,1,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
LY_A_1.22_WCU_ZZ,20220625,Lyness,A,1,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
LY_B_1.22_WCU_ZZ,20220625,Lyness,B,1,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
LY_C_1.22_WCU_ZZ,20220625,Lyness,C,1,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
PE_A_1.22_WCU_ZZ,20220621,Pear,A,1,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
PE_B_1.22_WCU_ZZ,20220621,Pear,B,1,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
PE_C_1.22_WCU_ZZ,20220621,Pear,C,1,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
TO_A_1.22_WCU_ZZ,20220624,Topaz,A,1,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
TO_B_1.22_WCU_ZZ,20220624,Topaz,B,1,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
TO_C_1.22_WCU_ZZ,20220624,Topaz,C,1,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_A_2.22_WCU_ZZ,20220715,Heather,A,2,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_B_2.22_WCU_ZZ,20220715,Heather,B,2,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_C_2.22_WCU_ZZ,20220715,Heather,C,2,2022,Standard,Cu,0.44,micrograms per liter,0.4,NA
LY_A_2.22_WCU_ZZ,20220713,Lyness,A,2,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
LY_B_2.22_WCU_ZZ,20220713,Lyness,B,2,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
FR_A_2.22_WCU_ZZ,20220714,Frog,A,2,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
FR_B_2.22_WCU_ZZ,20220714,Frog,B,2,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
FR_C_2.22_WCU_ZZ,20220714,Frog,C,2,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
PE_A_2.22_WCU_ZZ,20220712,Pear,A,2,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
PE_B_2.22_WCU_ZZ,20220712,Pear,B,2,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
PE_C_2.22_WCU_ZZ,20220712,Pear,C,2,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
TO_A_2.22_WCU_ZZ,20220717,Topaz,A,2,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
TO_B_2.22_WCU_ZZ,20220717,Topaz,B,2,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
EM_A_2.22_WCU_ZZ,20220717,Emerald,A,2,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
EM_B_2.22_WCU_ZZ,20220717,Emerald,B,2,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
EM_C_2.22_WCU_ZZ,20220717,Emerald,C,2,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
EM_C_2.22_WCU_DU,20220717,Emerald,C,2,2022,Duplicate,Cu,0.53,micrograms per liter,0.4,NA
LY_C_2.22_WCU_ZZ,20220713,Lyness,C,2,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_A_3.22_WCU_ZZ,20220818,Heather,A,3,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_B_3.22_WCU_ZZ,20220818,Heather,B,3,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_B_3.22_WCU_DU,20220818,Heather,B,3,2022,Duplicate,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_C_3.22_WCU_ZZ,20220818,Heather,C,3,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
EM_A_3.22_WCU_ZZ,20220820,Emerald,A,3,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
EM_B_3.22_WCU_ZZ,20220820,Emerald,B,3,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
EM_C_3.22_WCU_ZZ,20220820,Emerald,C,3,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
PE_A_3.22_WCU_ZZ,20220816,Pear,A,3,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
PE_B_3.22_WCU_ZZ,20220816,Pear,B,3,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
PE_C_3.22_WCU_ZZ,20220816,Pear,C,3,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
LY_A_3.22_WCU_ZZ,20220817,Lyness,A,3,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
LY_B_3.22_WCU_ZZ,20220817,Lyness,B,3,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
LY_C_3.22_WCU_ZZ,20220817,Lyness,C,3,2022,Standard,Cu,4,micrograms per liter,0.4,NA
FR_A_3.22_WCU_ZZ,20220819,Frog,A,3,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
FR_B_3.22_WCU_ZZ,20220819,Frog,B,3,2022,Standard,Cu,0.46,micrograms per liter,0.4,NA
FR_C_3.22_WCU_ZZ,20220819,Frog,C,3,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
TO_A_3.22_WCU_ZZ,20220819,Topaz,A,3,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
TO_B_3.22_WCU_ZZ,20220819,Topaz,B,3,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
TO_C_3.22_WCU_ZZ,20220819,Topaz,C,3,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
TO_C_3.22_WCU_DU,20220819,Topaz,C,3,2022,Duplicate,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_A_4.22_WCU_ZZ,20220916,Heather,A,4,2022,Standard,Cu,0.6,micrograms per liter,0.4,NA
HE_B_4.22_WCU_ZZ,20220916,Heather,B,4,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_C_4.22_WCU_ZZ,20220916,Heather,C,4,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
EM_A_4.22_WCU_ZZ,20220917,Emerald,A,4,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
EM_B_4.22_WCU_ZZ,20220917,Emerald,B,4,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
EM_C_4.22_WCU_ZZ,20220917,Emerald,C,4,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
PE_A_4.22_WCU_ZZ,20220913,Pear,A,4,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
PE_B_4.22_WCU_ZZ,20220913,Pear,B,4,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
PE_C_4.22_WCU_ZZ,20220913,Pear,C,4,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
LY_A_4.22_WCU_ZZ,20220914,Lyness,A,4,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
LY_B_4.22_WCU_ZZ,20220914,Lyness,B,4,2022,Standard,Cu,0.63,micrograms per liter,0.4,NA
LY_C_4.22_WCU_ZZ,20220914,Lyness,C,4,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
FR_A_4.22_WCU_ZZ,20220915,Frog,A,4,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
FR_B_4.22_WCU_ZZ,20220915,Frog,B,4,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
FR_C_4.22_WCU_ZZ,20220915,Frog,C,4,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
TO_A_4.22_WCU_ZZ,20220915,Topaz,A,4,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
TO_B_4.22_WCU_ZZ,20220915,Topaz,B,4,2022,Standard,Cu,0.42,micrograms per liter,0.4,NA
TO_C_4.22_WCU_ZZ,20220915,Topaz,C,4,2022,Standard,Cu,0.42,micrograms per liter,0.4,NA
LY_A_4.22_WCU_DU,20220914,Lyness,A,4,2022,Duplicate,Cu,NA,micrograms per liter,0.4,below method detection limit
EM_A_5.22_WCU_ZZ,20221015,Emerald,A,5,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
EM_B_5.22_WCU_ZZ,20221015,Emerald,B,5,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
EM_C_5.22_WCU_ZZ,20221015,Emerald,C,5,2022,Standard,Cu,0.44,micrograms per liter,0.4,NA
FR_A_5.22_WCU_DU,20221014,Frog,A,5,2022,Duplicate,Cu,0.65,micrograms per liter,0.4,NA
FR_A_5.22_WCU_ZZ,20221014,Frog,A,5,2022,Standard,Cu,1.83,micrograms per liter,0.4,NA
FR_B_5.22_WCU_ZZ,20221014,Frog,B,5,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
FR_C_5.22_WCU_ZZ,20221014,Frog,C,5,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_A_5.22_WCU_ZZ,20221013,Heather,A,5,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_B_5.22_WCU_ZZ,20221013,Heather,B,5,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
HE_C_5.22_WCU_ZZ,20221013,Heather,C,5,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
LY_A_5.22_WCU_ZZ,20221012,Lyness,A,5,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
LY_B_5.22_WCU_ZZ,20221012,Lyness,B,5,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
LY_C_5.22_WCU_ZZ,20221012,Lyness,C,5,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
PE_A_5.22_WCU_ZZ,20221011,Pear,A,5,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
PE_B_5.22_WCU_ZZ,20221011,Pear,B,5,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
PE_C_5.22_WCU_ZZ,20221011,Pear,C,5,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
TO_A_5.22_WCU_ZZ,20221014,Topaz,A,5,2022,Standard,Cu,0.45,micrograms per liter,0.4,NA
TO_B_5.22_WCU_ZZ,20221014,Topaz,B,5,2022,Standard,Cu,0.42,micrograms per liter,0.4,NA
TO_C_5.22_WCU_ZZ,20221014,Topaz,C,5,2022,Standard,Cu,NA,micrograms per liter,0.4,below method detection limit
PE_A_1.21_CAT_ZZ,20210615,Pear,A,1,2021,Standard,Na,0.3,milligrams per liter,0.1,NA
PE_A_1.21_CAT_ZZ,20210615,Pear,A,1,2021,Standard,Mg,NA,milligrams per liter,0.1,below method detection limit
PE_A_1.21_CAT_ZZ,20210615,Pear,A,1,2021,Standard,K,0.2,milligrams per liter,0.1,NA
PE_A_1.21_CAT_ZZ,20210615,Pear,A,1,2021,Standard,Ca,0.4,milligrams per liter,0.1,NA
PE_A_1.21_CAT_ZZ,20210615,Pear,A,1,2021,Standard,Mn,NA,milligrams per liter,0.1,below method detection limit
PE_A_1.21_CAT_ZZ,20210615,Pear,A,1,2021,Standard,Fe,NA,milligrams per liter,0.5,below method detection limit
PE_A_1.21_CAT_ZZ,20210615,Pear,A,1,2021,Standard,Sr,NA,milligrams per liter,0.01,below method detection limit
PE_B_1.21_CAT_ZZ,20210615,Pear,B,1,2021,Standard,Na,0.2,milligrams per liter,0.1,NA
PE_B_1.21_CAT_ZZ,20210615,Pear,B,1,2021,Standard,Mg,NA,milligrams per liter,0.1,below method detection limit
PE_B_1.21_CAT_ZZ,20210615,Pear,B,1,2021,Standard,K,0.2,milligrams per liter,0.1,NA
PE_B_1.21_CAT_ZZ,20210615,Pear,B,1,2021,Standard,Ca,0.3,milligrams per liter,0.1,NA
PE_B_1.21_CAT_ZZ,20210615,Pear,B,1,2021,Standard,Mn,NA,milligrams per liter,0.1,below method detection limit
PE_B_1.21_CAT_ZZ,20210615,Pear,B,1,2021,Standard,Fe,NA,milligrams per liter,0.5,below method detection limit
PE_B_1.21_CAT_ZZ,20210615,Pear,B,1,2021,Standard,Sr,NA,milligrams per liter,0.01,below method detection limit
PE_C_1.21_CAT_ZZ,20210615,Pear,C,1,2021,Standard,Na,0.2,milligrams per liter,0.1,NA
PE_C_1.21_CAT_ZZ,20210615,Pear,C,1,2021,Standard,Mg,NA,milligrams per liter,0.1,below method detection limit
PE_C_1.21_CAT_ZZ,20210615,Pear,C,1,2021,Standard,K,0.2,milligrams per liter,0.1,NA
PE_C_1.21_CAT_ZZ,20210615,Pear,C,1,2021,Standard,Ca,0.4,milligrams per liter,0.1,NA
PE_C_1.21_CAT_ZZ,20210615,Pear,C,1,2021,Standard,Mn,NA,milligrams per liter,0.1,below method detection limit
PE_C_1.21_CAT_ZZ,20210615,Pear,C,1,2021,Standard,Fe,NA,milligrams per liter,0.5,below method detection limit
PE_C_1.21_CAT_ZZ,20210615,Pear,C,1,2021,Standard,Sr,NA,milligrams per liter,0.01,below method detection limit
TO_A_1.21_CAT_ZZ,20210619,Topaz,A,1,2021,Standard,Na,0.3,milligrams per liter,0.1,NA
TO_A_1.21_CAT_ZZ,20210619,Topaz,A,1,2021,Standard,Mg,NA,milligrams per liter,0.1,below method detection limit
TO_A_1.21_CAT_ZZ,20210619,Topaz,A,1,2021,Standard,K,0.2,milligrams per liter,0.1,NA
TO_A_1.21_CAT_ZZ,20210619,Topaz,A,1,2021,Standard,Ca,0.4,milligrams per liter,0.1,NA
